sample_ID,country,site,Cu_extract,Fe_extract,Mn_extract,Zn_extract,Cu_per_kg,Fe_per_kg,Mn_per_kg,Zn_per_kg
CI_tb_18_soil_cal,CI,tb,0.144,26.3,6.62,,0.288,52.6,13.24,
CI_tb_19_soil_cal,CI,tb,0.224,23.6,3.28,,0.448,47.2,6.56,
CI_sb_01_soil_cal,CI,sb,0.699,8.18,10.6,5.29,1.398,16.36,21.2,10.58
CI_sb_02_soil_cal,CI,sb,0.452,5.14,11.8,4.88,0.904,10.28,23.6,9.76
CI_sb_03_soil_cal,CI,sb,0.171,24.9,1.97,1.34,0.342,49.8,3.94,2.68
CI_tb_08_soil_cal,CI,tb,0.248,61.1,3.98,3.07,0.496,122.2,7.96,6.14
CI_tb_09_soil_cal,CI,tb,0.069,11.7,1.26,5.53,0.138,23.4,2.52,11.06
CI_tb_10_soil_cal,CI,tb,0.216,6.53,3.79,1.99,0.432,13.06,7.58,3.98
CI_tb_11_soil_cal,CI,tb,0.117,10.3,4.35,2.84,0.234,20.6,8.7,5.68
CI_tb_12_soil_cal,CI,tb,0.0928,12.3,3.05,1.29,0.1856,24.6,6.1,2.58
CI_tb_13_soil_cal,CI,tb,0.332,9.53,7.95,2.18,0.664,19.06,15.9,4.36
CI_tb_14_soil_cal,CI,tb,0.104,10.8,3.15,2.46,0.208,21.6,6.3,4.92
CI_tb_15_soil_cal,CI,tb,0.0928,6.32,3.09,1.99,0.1856,12.64,6.18,3.98
CI_tb_01_soil_cal,CI,tb,0.301,17.4,10.8,5.77,0.602,34.8,21.6,11.54
CI_tb_02_soil_cal,CI,tb,0.376,26,6.71,,0.752,52,13.42,
CI_tb_03_soil_cal,CI,tb,0.126,14.3,3.26,4.17,0.252,28.6,6.52,8.34
CI_tb_04_soil_cal,CI,tb,0.116,3.16,2.27,4.03,0.232,6.32,4.54,8.06
CI_tb_05_soil_cal,CI,tb,0.206,31.8,3.65,4.38,0.412,63.6,7.3,8.76
CI_tb_06_soil_cal,CI,tb,0.114,4.05,2.15,2.3,0.228,8.1,4.3,4.6
CI_tb_07_soil_cal,CI,tb,0.213,25.8,4.44,2.59,0.426,51.6,8.88,5.18
CI_sb_04_soil_cal,CI,sb,0.36,88.3,4.44,,0.72,176.6,8.88,
CI_sb_05_soil_cal,CI,sb,0.218,43.4,2.13,,0.436,86.8,4.26,
CI_sb_06_soil_cal,CI,sb,0.275,43.2,4.14,2.75,0.55,86.4,8.28,5.5
CI_sb_07_soil_cal,CI,sb,0.207,10,6.58,2.34,0.414,20,13.16,4.68
CI_sb_08_soil_cal,CI,sb,0.226,11.2,2.52,2.02,0.452,22.4,5.04,4.04
CI_sb_09_soil_cal,CI,sb,0.0915,12.3,1.78,0.988,0.183,24.6,3.56,1.976
CI_sb_10_soil_cal,CI,sb,0.16,11.5,3.04,1.92,0.32,23,6.08,3.84
CI_sb_11_soil_cal,CI,sb,0.0533,28.9,1.27,1.68,0.1066,57.8,2.54,3.36
CI_sb_12_soil_cal,CI,sb,0.0793,7.4,3.72,1.33,0.1586,14.8,7.44,2.66
CI_sb_13_soil_cal,CI,sb,0.0812,3.67,2.12,1.67,0.1624,7.34,4.24,3.34
CI_sb_14_soil_cal,CI,sb,0.587,11.6,8.01,1.6,1.174,23.2,16.02,3.2
CI_sb_15_soil_cal,CI,sb,0.252,6.02,7.49,1.5,0.504,12.04,14.98,3
CI_sb_16_soil_cal,CI,sb,0.137,3.05,2.78,1.22,0.274,6.1,5.56,2.44
CI_sb_17_soil_cal,CI,sb,0.384,7.47,6.5,1.87,0.768,14.94,13,3.74
CI_sb_18_soil_cal,CI,sb,0.743,8.39,13.3,2.85,1.486,16.78,26.6,5.7
CI_sb_19_soil_cal,CI,sb,0.203,4.54,7.6,1.76,0.406,9.08,15.2,3.52
CI_sb_20_soil_cal,CI,sb,0.267,8.61,13.2,1.56,0.534,17.22,26.4,3.12
CI_tb_01_soil_cal,CI,tb,0.263,17.5,12.9,5.78,0.526,35,25.8,11.56
CI_tb_20_soil_cal,CI,tb,0.409,158,6.61,1.07,0.818,316,13.22,2.14
CI_sb_01_soil_cal,CI,sb,0.502,5.53,9.05,4.13,1.004,11.06,18.1,8.26
BF_lo_01_soil_cal,BF,lo,0.0544,4.6,2.8,1.33,0.1088,9.2,5.6,2.66
BF_lo_20_soil_cal,BF,lo,0.0658,3.97,3.29,0.575,0.1316,7.94,6.58,1.15
BF_mo_01_soil_cal,BF,mo,0.377,69.4,4.27,0.766,0.754,138.8,8.54,1.532
BF_mo_20_soil_cal,BF,mo,0.0922,3.31,4.38,0.823,0.1844,6.62,8.76,1.646
CI_sb_20_soil_cal,CI,sb,0.251,7.23,12.2,1.6,0.502,14.46,24.4,3.2
BF_lo_02_soil_cal,BF,lo,0.0651,2.11,1.33,0.96,0.1302,4.22,2.66,1.92
BF_lo_03_soil_cal,BF,lo,0.047,3.41,2.62,1.08,0.094,6.82,5.24,2.16
BF_lo_04_soil_cal,BF,lo,0.0564,2.46,2.28,0.726,0.1128,4.92,4.56,1.452
BF_lo_05_soil_cal,BF,lo,0.0906,7.21,3.68,0.749,0.1812,14.42,7.36,1.498
BF_lo_06_soil_cal,BF,lo,0.0614,1.83,2.3,0.943,0.1228,3.66,4.6,1.886
BF_lo_07_soil_cal,BF,lo,0.0604,4.54,3.51,0.916,0.1208,9.08,7.02,1.832
BF_lo_08_soil_cal,BF,lo,0.0603,4.68,3.58,0.776,0.1206,9.36,7.16,1.552
BF_lo_09_soil_cal,BF,lo,0.0946,2.86,1.45,0.744,0.1892,5.72,2.9,1.488
