sample_ID,country,site,pH
CI_tb_01_soil_cal,CI,tb,5.875
CI_tb_01_soil_cal,CI,tb,5.805
CI_tb_01_soil_cal,CI,tb,5.809
CI_tb_02_soil_cal,CI,tb,6.640
CI_tb_03_soil_cal,CI,tb,6.306
CI_tb_04_soil_cal,CI,tb,7.961
CI_tb_05_soil_cal,CI,tb,5.887
CI_tb_06_soil_cal,CI,tb,7.610
CI_tb_07_soil_cal,CI,tb,6.240
CI_tb_08_soil_cal,CI,tb,6.606
CI_tb_09_soil_cal,CI,tb,6.120
CI_tb_10_soil_cal,CI,tb,7.217
CI_tb_11_soil_cal,CI,tb,6.471
CI_tb_12_soil_cal,CI,tb,5.953
CI_tb_13_soil_cal,CI,tb,7.075
CI_tb_14_soil_cal,CI,tb,6.265
CI_tb_15_soil_cal,CI,tb,7.350
CI_tb_16_soil_cal,CI,tb,7.274
CI_tb_17_soil_cal,CI,tb,6.839
CI_tb_18_soil_cal,CI,tb,6.207
CI_tb_19_soil_cal,CI,tb,6.413
CI_tb_20_soil_cal,CI,tb,5.369
CI_tb_20_soil_cal,CI,tb,5.310
CI_tb_20_soil_cal,CI,tb,5.292
CI_sb_01_soil_cal,CI,sb,6.891
CI_sb_01_soil_cal,CI,sb,5.744
CI_sb_01_soil_cal,CI,sb,7.011
CI_sb_02_soil_cal,CI,sb,7.253
CI_sb_03_soil_cal,CI,sb,6.264
CI_sb_04_soil_cal,CI,sb,4.705
CI_sb_05_soil_cal,CI,sb,6.058
CI_sb_06_soil_cal,CI,sb,5.746
CI_sb_07_soil_cal,CI,sb,7.723
CI_sb_08_soil_cal,CI,sb,7.823
CI_sb_09_soil_cal,CI,sb,6.058
CI_sb_10_soil_cal,CI,sb,5.927
CI_sb_11_soil_cal,CI,sb,7.125
CI_sb_12_soil_cal,CI,sb,6.028
CI_sb_13_soil_cal,CI,sb,7.363
CI_sb_14_soil_cal,CI,sb,6.152
CI_sb_15_soil_cal,CI,sb,6.541
CI_sb_16_soil_cal,CI,sb,7.029
CI_sb_17_soil_cal,CI,sb,7.405
CI_sb_18_soil_cal,CI,sb,6.047
CI_sb_19_soil_cal,CI,sb,6.704
CI_sb_20_soil_cal,CI,sb,5.722
CI_sb_20_soil_cal,CI,sb,6.921
CI_sb_20_soil_cal,CI,sb,7.064
BF_lo_01_soil_cal,BF,lo,6.782
BF_lo_01_soil_cal,BF,lo,6.707
BF_lo_01_soil_cal,BF,lo,6.583
BF_lo_02_soil_cal,BF,lo,7.429
BF_lo_03_soil_cal,BF,lo,5.244
BF_lo_04_soil_cal,BF,lo,6.903
BF_lo_05_soil_cal,BF,lo,6.179
BF_lo_06_soil_cal,BF,lo,6.789
BF_lo_07_soil_cal,BF,lo,5.537
BF_lo_08_soil_cal,BF,lo,5.427
BF_lo_09_soil_cal,BF,lo,6.663
BF_lo_10_soil_cal,BF,lo,5.665
BF_lo_11_soil_cal,BF,lo,5.982
BF_lo_12_soil_cal,BF,lo,6.472
BF_lo_13_soil_cal,BF,lo,5.854
BF_lo_14_soil_cal,BF,lo,4.892
BF_lo_15_soil_cal,BF,lo,6.865
BF_lo_16_soil_cal,BF,lo,5.952
BF_lo_17_soil_cal,BF,lo,5.934
BF_lo_18_soil_cal,BF,lo,5.703
BF_lo_19_soil_cal,BF,lo,5.228
BF_lo_20_soil_cal,BF,lo,6.437
BF_lo_20_soil_cal,BF,lo,6.465
BF_lo_20_soil_cal,BF,lo,6.49
BF_mo_01_soil_cal,BF,mo,5.546
BF_mo_01_soil_cal,BF,mo,5.686
BF_mo_01_soil_cal,BF,mo,5.686
BF_mo_02_soil_cal,BF,mo,5.935
BF_mo_03_soil_cal,BF,mo,6.681
BF_mo_04_soil_cal,BF,mo,5.074
BF_mo_05_soil_cal,BF,mo,6.295
BF_mo_06_soil_cal,BF,mo,6.339
BF_mo_07_soil_cal,BF,mo,6.561
BF_mo_08_soil_cal,BF,mo,5.236
BF_mo_09_soil_cal,BF,mo,7.121
BF_mo_10_soil_cal,BF,mo,5.621
BF_mo_11_soil_cal,BF,mo,6.396
BF_mo_12_soil_cal,BF,mo,6.697
BF_mo_13_soil_cal,BF,mo,7.364
BF_mo_14_soil_cal,BF,mo,8.389
BF_mo_15_soil_cal,BF,mo,6.458
BF_mo_16_soil_cal,BF,mo,6.531
BF_mo_17_soil_cal,BF,mo,6.545
BF_mo_18_soil_cal,BF,mo,6.224
BF_mo_19_soil_cal,BF,mo,7.031
BF_mo_20_soil_cal,BF,mo,6.546
BF_mo_20_soil_cal,BF,mo,6.633
BF_mo_20_soil_cal,BF,mo,6.649
