sample_ID,country,site,material,S,C,N,ex_Ca,ex_Mg,ex_K,ex_Al,ex_Na,ex_Fe,ex_Mn,pH_BaCl2,CEC_eff,BS_eff,pH,P_resin,Fe_tot,Si_tot,Al_tot,P_tot,K_tot,Ca_tot,Mn_tot,Zn_tot,Cu_tot,Zn_DTPA,Cu_DTPA,Fe_DTPA,Mn_DTPA,sand,clay,silt,site_comb
BF_lo_01_soil_cal,BF,lo,soil,71.33333333333333,6.923666666666667,0.4376666666666667,488,62.5,113,0,12.2,1.79,5.57,3.67,3.291953315727459,99.99025823629111,6.690666666666667,4.734016782112569,9.769,291.1,38.16,529,4.389,1.162,149.5,14.7,2.8,2.49,0.1202,8.69,5.58,79.75,9.18,11.07,lo
BF_lo_02_soil_cal,BF,lo,soil,87,5.734,0.44699999999999995,656,47.5,140,0,9.36,1.43,2.67,3.63,4.063622094639798,99.99134677600159,7.429,4.260933104835614,8.926,257.6,53.010000000000005,432.8,20.48,1.5989999999999998,148.7,18.7,2.5,1.92,0.1302,4.22,2.66,70.75,10.18,19.07,lo
BF_lo_03_soil_cal,BF,lo,soil,72.00000000000001,3.413,0.233,270,21.9,61.6,10.4,11.3,1.89,8.18,3.5,1.8504026352498748,93.72484911378817,5.244,1.5117155696676747,9.963999999999999,262.9,32.19,399,4.256,0.4823,169.4,14.8,2.9,2.16,0.094,6.82,5.24,77.9,8.1,14,lo
BF_lo_04_soil_cal,BF,lo,soil,73,5.372,0.423,532.3333333333334,49.53333333333333,110.33333333333333,0,9.046666666666667,1.5066666666666666,5.333333333333333,3.75,3.385898462856456,99.99212197546879,6.903,4.228604582136036,7.861000000000001,286.70000000000005,41.17,516.2,5.368,1.369,212.60000000000002,14,3.6,1.452,0.1128,4.92,4.56,73.75,8.65,17.6,lo
BF_lo_05_soil_cal,BF,lo,soil,70,9.032,0.624,604,92.6,115,0,11.1,1.67,8.98,3.56,4.118933280437465,99.98996987138725,6.179,2.875334957216352,8.53,283.2,51.449999999999996,454.6,12.09,1.152,234.70000000000002,16.7,2.6,1.498,0.1812,14.42,7.36,67.75,12.25,20,lo
BF_lo_06_soil_cal,BF,lo,soil,57,3.577,0.276,426,41.8,90.7,0,9.81,1.75,5.55,3.64,2.744812263326685,99.98748074130583,6.789,6.170137600610379,8.176,284.5,51.44,477.59999999999997,24.980000000000004,0.9229999999999999,264.9,19.3,1.9,1.886,0.1228,3.66,4.6,77.28,8.5,14.22,lo
BF_lo_07_soil_cal,BF,lo,soil,56,4.659,0.355,321,46,72.9,4.76,10.2,1.86,10.1,3.45,2.2646812600132,97.63938899866912,5.537,5.899282081536784,6.664,278.9,45.769999999999996,472.9,12.6,0.7728,211.70000000000002,17.7,2.8,1.832,0.1208,9.08,7.02,70.88,10.25,18.87,lo
BF_lo_08_soil_cal,BF,lo,soil,53,4.259,0.315,250,34.1,75.5,5.85,12.6,1.78,10,3.47,1.8416353375990304,96.44031319688092,5.427,1.85277627041077,8.581999999999999,266.3,45.64,419.1,15.11,0.7131,247.4,19.7,2.9,1.552,0.1206,9.36,7.16,67.82,10.18,22,lo
BF_lo_09_soil_cal,BF,lo,soil,57,4.305,0.33599999999999997,375,47,88.5,0,10.7,1.66,4.34,3.56,2.5314119612924126,99.98367968897128,6.663,9.169562047249514,9.257,268.2,36.71,713,9.979,0.974,213.7,16.4,3.4,1.488,0.1892,5.72,2.9,71.82,9.38,18.8,lo
BF_lo_10_soil_cal,BF,lo,soil,41.99999999999999,2.9320000000000004,0.262,225,31.6,121,6.45,13.2,2.32,8.73,3.15,1.8225160449191977,96.00652563151255,5.665,2.9388362959185956,7.2330000000000005,266,42.33,421.5,22.05,0.5456,195.39999999999998,13.8,1,1.24,0.1402,5.82,5.58,75.82,8.18,16,lo
