model,dataType,n,min,max,mean,median,sdev,cv,skewness_b1,kurtosis,rmse,mse,me,bias,msv,sde,mae,r2,b,rpd,rpiq,SB,NU,LC,SB_prop,NU_prop,LC_prop,ncomp,response,min_obs,median_obs,max_obs,mean_obs,CV
pls_Fe_total,Cross-validation,94,1,35.2,12.367212765957447,10.295,6.703097178334868,0.5420054870234075,1.2887647038562673,1.2064778493851165,2.943456530190284,8.663936345119826,0.02196210303344,0.02196210303344,8.663454011150174,2.943374595791398,2.090004084777174,0.8055928049866438,1.0250401563921814,2.277287641105927,2.5010561306044123,4.823339696514345e-4,0.02137046736598859,8.642083543784182,0,0,100,5,Fe_tot,3.883,10.295,35.2,12.367212765957447,54.20054870234075
pls_Si_total,Cross-validation,94,1,363,261.631914893617,261.70000000000005,31.53967705211673,0.12054980778985308,0.7799061421671057,1.0264566688333563,20.184468162922364,407.41275502002657,-0.020467715628489928,-0.020467715628489928,407.4123360926435,20.184457785450753,12.471589227393299,0.5947584714556436,0.8919692710351071,1.5625716168263075,1.9247472703474569,4.1892738304873085e-4,8.586279929733665,398.82605616290994,0,2,98,3,Si_tot,200.39999999999998,261.70000000000005,363,261.631914893617,12.054980778985309
pls_Al_total,Cross-validation,94,1,102.4,52.55053191489362,48.28,22.101049572071062,0.42056757118774835,0.49286040622425636,-0.6845797379790644,3.674425629858324,13.501403709359742,-0.015806434749246076,-0.015806434749246076,13.50115386598026,3.674391632090986,2.7707851144261544,0.9722186907406853,1.0128442179585047,6.014831105160569,9.716484587382052,2.4984337948217385e-4,0.07555703122785218,13.425596834752433,0,1,99,5,Al_tot,10.43,48.28,102.4,52.55053191489362,42.05675711877483
pls_K_total,Cross-validation,94,0.5404,34.12,9.545762765957447,5.804,8.6446854378859,0.9056044707830986,1.0957830681126812,0.2590756740940021,1.6983812921387602,2.884499013486925,-0.03203881167993614,-0.03203881167993614,2.8834725280330615,1.6980790700179604,1.234010834693579,0.96272207293896,1.0441586779213574,5.089955640643984,6.38107593987473,0.0010264854538624127,0.1273073665000936,2.7561651615329765,0,4,96,7,K_tot,0.5404,5.804,34.12,9.545762765957447,90.56044707830986
pls_Ca_total,Cross-validation,94,0.2773,7.5680000000000005,1.8588500000000001,1.4175,1.2930426109412163,0.6956142835307939,1.485684460645727,2.866504315964857,0.601226597675564,0.3614734217525345,4.452952638649905e-4,4.452952638649905e-4,0.3614732234646625,0.6012264327727637,0.41795305698399066,0.7841130408436586,1.0615387004445356,2.1506743313424943,2.4357289009862435,1.9828787202059152e-7,0.004358975451867,0.35711424801279534,0,1,99,5,Ca_tot,0.2773,1.4175,7.5680000000000005,1.8588500000000001,69.56142835307939
pls_Zn_total,Cross-validation,94,1,71.6,22.635106382978723,19.05,11.002821802745402,0.48609543143209466,1.6573502613192233,3.596844923046442,6.652202747595623,44.25180139511875,0.14993248385102156,0.14993248385102156,44.229321645405015,6.650512885891209,4.4416520468890655,0.633209398264828,0.9410817297687346,1.6540117943221544,2.1421475773796184,0.02247974971373684,0.29727329552526854,43.93204834987975,0,1,99,1,Zn_tot,9.5,19.05,71.6,22.635106382978723,48.609543143209464
pls_Cu_total,Cross-validation,94,0.5,29.2,6.8074468085106385,4.65,5.945401030302223,0.8733672399568823,1.6974061143046357,2.866793041525753,3.1838151905192813,10.136679167381327,-0.01525442355631564,-0.01525442355631564,10.136446469943293,3.1837786465053273,2.1490929626805664,0.7101922646825035,0.992649371247803,1.8673825817548557,2.190767862647949,2.3269743803547752e-4,0.0013619167935554034,10.135084553149737,0,0,100,7,Cu_tot,0.5,4.65,29.2,6.8074468085106385,87.33672399568823
pls_Mn_total,Cross-validation,94,1,1146,307.98936170212767,221.5,227.7228000202232,0.7393852786398045,1.6395472708570693,2.184424011849698,116.39870249522382,13548.657942571623,-0.7024117814136184,-0.7024117814136184,13548.164560260955,116.3965831124821,81.96717900418679,0.7363469168504455,1.0242520945265228,1.9564032513985052,1.7019090054558697,0.4933823106686528,21.180459667237006,13526.98410059372,0,0,100,5,Mn_tot,59.199999999999996,221.5,1146,307.98936170212767,73.93852786398045
pls_sand,Cross-validation,80,1,91.61,74.217875,75.64500000000001,10.630018956810563,0.14322720714936343,-1.9279335690345438,5.176303686510304,8.096402073000714,65.55172652769026,-0.18995334851298812,-0.18995334851298812,65.51564425307896,8.094173475598293,5.0887906231785,0.4241113217515822,0.8599488773348433,1.3129312083275568,1.2199863483730349,0.036082274611296726,1.2552001135542359,64.26044413952472,0,2,98,2,sand,29.82,75.64500000000001,91.61,74.217875,14.322720714936343
pls_silt,Cross-validation,80,1,54.07,14.13725,12.035,8.428683693048894,0.5962039076233988,2.3880457603357663,7.482394434350555,6.535429556195988,42.71183948400008,0.09804691032554066,0.09804691032554066,42.702226287375694,6.5346940469600945,3.9863358101972595,0.4092835191953393,0.8267608770795096,1.2896908490212378,1.279946471470949,0.009613196624384613,1.2607035963007618,41.44152269107493,0,3,97,2,silt,3.86,12.035,54.07,14.13725,59.62039076233988
